step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,1876.0458075136848
1,3700.0,82582.60458075137,305555636.94878006,1876.0458075136848
2,3700.0,74511.94870342761,275694210.20268214,1876.0458075136848
3,3700.0,67248.35841383622,248818926.13119403,1876.0458075136848
4,3700.0,60711.12715320397,224631170.4668547,1876.0458075136848
5,3700.0,54827.61901863494,202862190.3689493,1876.0458075136848
6,3700.0,49532.46169752281,183270108.2808344,1876.0458075136848
7,3700.0,44766.8201085219,165637234.401531,1876.0458075136848
8,3700.0,40477.74267842108,149767647.91015798,1876.0458075136848
9,3700.0,36617.57299133034,135485020.06792223,1876.0458075136848
10,3700.0,33143.42027294867,122630655.00991009,1876.0458075136848
11,3700.0,30016.682826405173,111061726.45769913,1876.0458075136848
12,3700.0,27202.619124516023,100649690.76070929,1876.0458075136848
13,3700.0,24669.96179281579,91278858.63341843,1876.0458075136848
14,3700.0,22390.570194285578,82845109.71885663,1876.0458075136848
15,3700.0,20339.11775560839,75254735.69575104,1876.0458075136848
16,3700.0,18492.81056079892,68423399.074956,1876.0458075136848
17,3700.0,16831.134085470396,62275196.116240464,1876.0458075136848
18,3700.0,15335.625257674725,56741813.453396484,1876.0458075136848
19,3700.0,13989.667312658621,51761769.056836896,1876.0458075136848
20,3700.0,12778.305162144128,47279729.099933274,1876.0458075136848
21,3700.0,11688.079226681084,43245893.13872001,1876.0458075136848
22,3700.0,10706.875884764344,39615440.77362807,1876.0458075136848
23,3700.0,9823.792877039277,36348033.645045325,1876.0458075136848
24,3700.0,9029.018170086718,33407367.229320858,1876.0458075136848
25,3700.0,8313.720933829414,30760767.455168832,1876.0458075136848
26,3700.0,7669.953421197841,28378827.65843201,1876.0458075136848
27,3700.0,7090.562659829425,26235081.841368873,1876.0458075136848
28,3700.0,6569.110974597851,24305710.60601205,1876.0458075136848
29,3700.0,6099.804457889434,22569276.494190905,1876.0458075136848
30,3700.0,5677.428592851859,21006485.79355188,1876.0458075136848
31,3700.0,5297.290314318042,19599974.162976757,1876.0458075136848
32,3700.0,4955.165863637606,18334113.695459142,1876.0458075136848
33,3700.0,4647.253858025214,17194839.27469329,1876.0458075136848
34,3700.0,4370.133052974061,16169492.296004025,1876.0458075136848
35,3700.0,4120.724328428023,15246680.015183685,1876.0458075136848
36,3700.0,3896.256476336589,14416148.96244538,1876.0458075136848
37,3700.0,3694.2354094542984,13668671.014980905,1876.0458075136848
38,3700.0,3512.416449260237,12995940.862262877,1876.0458075136848
39,3700.0,3348.779385085582,12390483.724816654,1876.0458075136848
40,3700.0,3201.506027328392,11845572.30111505,1876.0458075136848
41,3700.0,3068.960005346921,11355152.019783609,1876.0458075136848
42,3700.0,2949.6685855635974,10913773.76658531,1876.0458075136848
43,3700.0,2842.306307758606,10516533.338706844,1876.0458075136848
44,3700.0,2745.680257734114,10159016.953616222,1876.0458075136848
45,3700.0,2658.7168127120713,9837252.207034664,1876.0458075136848
46,3700.0,2580.4497121922327,9547663.935111262,1876.0458075136848
47,3700.0,2510.009321724378,9287034.490380198,1876.0458075136848
48,3700.0,2446.6129703033084,9052467.990122242,1876.0458075136848
49,3700.0,2389.556254024346,8841358.13989008,1876.0458075136848
50,3700.0,2338.20520937328,8651359.274681136,1876.0458075136848
51,3700.0,2291.9892691873206,8480360.295993086,1876.0458075136848
52,3700.0,2250.394923019957,8326461.2151738405,1876.0458075136848
53,3700.0,2212.96001146933,8187952.042436521,1876.0458075136848
54,3700.0,2179.2685910737655,8063293.7869729325,1876.0458075136848
55,3700.0,2148.9463127177573,7951101.357055702,1876.0458075136848
56,3700.0,2121.65626219735,7850128.170130194,1876.0458075136848
57,3700.0,2097.0952167289834,7759252.301897238,1876.0458075136848
58,3700.0,2074.9902758074536,7677464.020487579,1876.0458075136848
59,3700.0,2055.0958289780765,7603854.567218883,1876.0458075136848
60,3700.0,2037.1908268316374,7537606.059277059,1876.0458075136848
61,3700.0,2021.0763248998421,7477982.402129415,1876.0458075136848
62,3700.0,2006.5732731612263,7424321.110696537,1876.0458075136848
63,3700.0,1993.520526596472,7376025.948406947,1876.0458075136848
64,3700.0,1981.7730546881935,7332560.302346316,1876.0458075136848
65,3700.0,1971.2003299707426,7293441.220891748,1876.0458075136848
66,3700.0,1961.6848777250368,7258234.047582637,1876.0458075136848
67,3700.0,1953.1209707039015,7226547.591604436,1876.0458075136848
68,3700.0,1945.41345438488,7198029.781224056,1876.0458075136848
69,3700.0,1938.4766896977605,7172363.751881714,1876.0458075136848
70,3700.0,1932.233601479353,7149264.325473606,1876.0458075136848
71,3700.0,1926.614822082786,7128474.841706309,1876.0458075136848
72,3700.0,1921.557920625876,7109764.3063157415,1876.0458075136848
73,3700.0,1917.006709314657,7092924.824464231,1876.0458075136848
74,3700.0,1912.9106191345597,7077769.290797871,1876.0458075136848
75,3700.0,1909.2241379724724,7064129.310498148,1876.0458075136848
76,3700.0,1905.9063049265935,7051853.328228396,1876.0458075136848
77,3700.0,1902.9202551853027,7040804.94418562,1876.0458075136848
78,3700.0,1900.2328104181408,7030861.398547121,1876.0458075136848
79,3700.0,1897.8141101276951,7021912.2074724715,1876.0458075136848
80,3700.0,1895.6372798662942,7013857.935505289,1876.0458075136848
81,3700.0,1893.6781326310333,7006609.090734824,1876.0458075136848
82,3700.0,1891.9149001192984,7000085.130441404,1876.0458075136848
83,3700.0,1890.327990858737,6994213.566177326,1876.0458075136848
84,3700.0,1888.8997725242318,6988929.158339658,1876.0458075136848
85,3700.0,1887.614376023177,6984173.1912857555,1876.0458075136848
86,3700.0,1886.4575191722279,6979892.820937243,1876.0458075136848
87,3700.0,1885.4163480063735,6976040.487623582,1876.0458075136848
88,3700.0,1884.4792939571046,6972573.3876412865,1876.0458075136848
89,3700.0,1883.6359453127625,6969452.997657221,1876.0458075136848
90,3700.0,1882.8769315328548,6966644.646671562,1876.0458075136848
91,3700.0,1882.1938191309378,6964117.13078447,1876.0458075136848
92,3700.0,1881.5790179692124,6961842.366486086,1876.0458075136848
93,3700.0,1881.0256969236596,6959795.07861754,1876.0458075136848
94,3700.0,1880.5277079826622,6957952.51953585,1876.0458075136848
95,3700.0,1880.0795179357644,6956294.216362328,1876.0458075136848
96,3700.0,1879.6761468935565,6954801.743506159,1876.0458075136848
97,3700.0,1879.3131129555693,6953458.517935607,1876.0458075136848
98,3700.0,1878.9863824113809,6952249.614922109,1876.0458075136848
99,3700.0,1878.6923249216113,6951161.602209962,1876.0458075136848
100,3700.0,1878.4276731808186,6950182.390769029,1876.0458075136848
