step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,7334.7178724726255
1,3700.0,83128.47178724727,307575345.6128149,7334.7178724726255
2,3700.0,75549.0963957698,279531656.66434824,7334.7178724726255
3,3700.0,68727.65854344008,254292336.6107283,7334.7178724726255
4,3700.0,62588.36447634333,231576948.56247035,7334.7178724726255
5,3700.0,57062.99981595626,211133099.31903815,7334.7178724726255
6,3700.0,52090.17162160789,192733634.99994922,7334.7178724726255
7,3700.0,47614.626246694366,176174117.11276916,7334.7178724726255
8,3700.0,43586.63540927219,161270551.0143071,7334.7178724726255
9,3700.0,39961.44365559223,147857341.52569124,7334.7178724726255
10,3700.0,36698.77107728027,135785452.985937,7334.7178724726255
11,3700.0,33762.3657567995,124920753.30015816,7334.7178724726255
12,3700.0,31119.600968366816,115142523.58295722,7334.7178724726255
13,3700.0,28741.1126587774,106342116.83747639,7334.7178724726255
14,3700.0,26600.47318014692,98421750.76654361,7334.7178724726255
15,3700.0,24673.89764937949,91293421.30270411,7334.7178724726255
16,3700.0,22939.979671688805,84877924.78524858,7334.7178724726255
17,3700.0,21379.453491767188,79103977.9195386,7334.7178724726255
18,3700.0,19974.979929837733,73907425.74039961,7334.7178724726255
19,3700.0,18710.953724101226,69230528.77917454,7334.7178724726255
20,3700.0,17573.330138938363,65021321.51407194,7334.7178724726255
21,3700.0,16549.468912291788,61233034.97547962,7334.7178724726255
22,3700.0,15627.993808309871,57823577.09074652,7334.7178724726255
23,3700.0,14798.666214726149,54755064.99448675,7334.7178724726255
24,3700.0,14052.271380500795,51993404.10785294,7334.7178724726255
25,3700.0,13380.516029697978,49507909.309882514,7334.7178724726255
26,3700.0,12775.936213975445,47270963.99170914,7334.7178724726255
27,3700.0,12231.814379825162,45257713.2053531,7334.7178724726255
28,3700.0,11742.104729089908,43445787.49763266,7334.7178724726255
29,3700.0,11301.36604342818,41815054.36068426,7334.7178724726255
30,3700.0,10904.701226332623,40347394.5374307,7334.7178724726255
31,3700.0,10547.702890946624,39026500.69650251,7334.7178724726255
32,3700.0,10226.404389099223,37837696.239667125,7334.7178724726255
33,3700.0,9937.235737436566,36767772.22851529,7334.7178724726255
34,3700.0,9676.983950940172,35804840.61847863,7334.7178724726255
35,3700.0,9442.757343093415,34938202.169445634,7334.7178724726255
36,3700.0,9231.953396031338,34158227.565315954,7334.7178724726255
37,3700.0,9042.229843675466,33456250.421599224,7334.7178724726255
38,3700.0,8871.478646555182,32824470.992254175,7334.7178724726255
39,3700.0,8717.802569146927,32255869.50584363,7334.7178724726255
40,3700.0,8579.494099479496,31744128.168074135,7334.7178724726255
41,3700.0,8455.016476778808,31283560.96408159,7334.7178724726255
42,3700.0,8342.98661634819,30869050.4804883,7334.7178724726255
43,3700.0,8242.159741960633,30495991.045254342,7334.7178724726255
44,3700.0,8151.415555011832,30160237.55354378,7334.7178724726255
45,3700.0,8069.745786757911,29858059.41100427,7334.7178724726255
46,3700.0,7996.242995329383,29586099.08271872,7334.7178724726255
47,3700.0,7930.0904830437075,29341334.787261717,7334.7178724726255
48,3700.0,7870.553221986599,29121046.921350416,7334.7178724726255
49,3700.0,7816.969687035202,28922787.842030246,7334.7178724726255
50,3700.0,7768.744505578944,28744354.670642093,7334.7178724726255
51,3700.0,7725.341842268312,28583764.816392753,7334.7178724726255
52,3700.0,7686.279445288743,28439233.94756835,7334.7178724726255
53,3700.0,7651.123288007131,28309156.165626384,7334.7178724726255
54,3700.0,7619.48274645368,28192086.161878616,7334.7178724726255
55,3700.0,7591.006259055574,28086723.158505626,7334.7178724726255
56,3700.0,7565.37742039728,27991896.455469936,7334.7178724726255
57,3700.0,7542.311465604815,27906552.422737814,7334.7178724726255
58,3700.0,7521.552106291596,27829742.793278906,7334.7178724726255
59,3700.0,7502.868682909699,27760614.126765884,7334.7178724726255
60,3700.0,7486.053601865991,27698398.326904166,7334.7178724726255
61,3700.0,7470.920028926655,27642404.107028622,7334.7178724726255
62,3700.0,7457.299813281252,27592009.30914063,7334.7178724726255
63,3700.0,7445.041619200389,27546653.991041437,7334.7178724726255
64,3700.0,7434.009244527613,27505834.20475217,7334.7178724726255
65,3700.0,7424.080107322115,27469096.397091825,7334.7178724726255
66,3700.0,7415.143883837166,27436032.370197512,7334.7178724726255
67,3700.0,7407.101282700712,27406274.745992634,7334.7178724726255
68,3700.0,7399.862941677903,27379492.884208243,7334.7178724726255
