step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,0.0
1,3700.0,82395.0,304861500.0,0.0
2,3700.0,74155.5,274375350.0,0.0
3,3700.0,66739.95,246937815.0,0.0
4,3700.0,60065.955,222244033.5,0.0
5,3700.0,54059.35949999999,200019630.14999998,0.0
6,3700.0,48653.42354999999,180017667.13499996,0.0
7,3700.0,43788.08119499999,162015900.42149997,0.0
8,3700.0,39409.2730755,145814310.37935,0.0
9,3700.0,35468.34576794999,131232879.34141497,0.0
10,3700.0,31921.51119115499,118109591.40727346,0.0
11,3700.0,28729.36007203949,106298632.26654612,0.0
12,3700.0,25856.42406483554,95668769.0398915,0.0
13,3700.0,23270.781658351985,86101892.13590235,0.0
14,3700.0,20943.703492516783,77491702.9223121,0.0
15,3700.0,18849.333143265107,69742532.6300809,0.0
16,3700.0,16964.399828938596,62768279.367072806,0.0
17,3700.0,15267.959846044736,56491451.430365525,0.0
18,3700.0,13741.163861440262,50842306.287328966,0.0
19,3700.0,12367.047475296236,45758075.658596076,0.0
20,3700.0,11130.342727766612,41182268.09273647,0.0
21,3700.0,10017.30845498995,37064041.283462815,0.0
22,3700.0,9015.577609490956,33357637.155116536,0.0
23,3700.0,8114.01984854186,30021873.439604882,0.0
24,3700.0,7302.617863687674,27019686.095644392,0.0
25,3700.0,6572.3560773189065,24317717.486079954,0.0
26,3700.0,5915.120469587016,21885945.737471957,0.0
27,3700.0,5323.608422628314,19697351.16372476,0.0
28,3700.0,4791.2475803654825,17727616.047352284,0.0
29,3700.0,4312.122822328935,15954854.44261706,0.0
30,3700.0,3880.910540096041,14359368.998355351,0.0
31,3700.0,3492.819486086437,12923432.098519817,0.0
32,3700.0,3143.537537477793,11631088.888667835,0.0
33,3700.0,2829.1837837300136,10467979.99980105,0.0
34,3700.0,2546.265405357012,9421181.999820944,0.0
35,3700.0,2291.638864821311,8479063.79983885,0.0
36,3700.0,2062.47497833918,7631157.419854965,0.0
37,3700.0,1856.2274805052616,6868041.677869468,0.0
38,3700.0,1670.6047324547358,6181237.510082522,0.0
39,3700.0,1503.5442592092622,5563113.759074271,0.0
40,3700.0,1353.189833288336,5006802.383166844,0.0
41,3700.0,1217.8708499595025,4506122.144850159,0.0
42,3700.0,1096.0837649635523,4055509.9303651433,0.0
43,3700.0,986.475388467197,3649958.937328629,0.0
44,3700.0,887.8278496204773,3284963.043595766,0.0
45,3700.0,799.0450646584295,2956466.739236189,0.0
46,3700.0,719.1405581925866,2660820.0653125704,0.0
47,3700.0,647.2265023733279,2394738.0587813132,0.0
48,3700.0,582.5038521359951,2155264.252903182,0.0
49,3700.0,524.2534669223955,1939737.8276128636,0.0
50,3700.0,471.828120230156,1745764.0448515771,0.0
51,3700.0,424.6453082071404,1571187.6403664195,0.0
52,3700.0,382.1807773864263,1414068.8763297773,0.0
53,3700.0,343.96269964778367,1272661.9886967996,0.0
