step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,155.7006185217906
1,3700.0,82410.57006185218,304919109.22885305,155.7006185217906
2,3700.0,74185.08311751914,274484807.5348208,155.7006185217906
3,3700.0,66782.14486761941,247093936.01019183,155.7006185217906
4,3700.0,60119.50044270965,222442151.6380257,155.7006185217906
5,3700.0,54123.12046029086,200255545.70307618,155.7006185217906
6,3700.0,48726.378476113954,180287600.36162162,155.7006185217906
7,3700.0,43869.31069035474,162316449.55431253,155.7006185217906
8,3700.0,39497.94968317144,146142413.82773435,155.7006185217906
9,3700.0,35563.72477670648,131585781.67381397,155.7006185217906
10,3700.0,32022.92236088801,118484812.73528564,155.7006185217906
11,3700.0,28836.200186651386,106693940.69061013,155.7006185217906
12,3700.0,25968.150229838426,96082155.85040218,155.7006185217906
13,3700.0,23386.90526870676,86531549.49421501,155.7006185217906
14,3700.0,21063.784803688264,77936003.77364658,155.7006185217906
15,3700.0,18972.976385171616,70200012.62513497,155.7006185217906
16,3700.0,17091.248808506632,63237620.59147454,155.7006185217906
17,3700.0,15397.693989508149,56971467.76118015,155.7006185217906
18,3700.0,13873.494652409512,51331930.21391519,155.7006185217906
19,3700.0,12501.71524902074,46256346.42137674,155.7006185217906
20,3700.0,11267.113785970843,41688321.00809212,155.7006185217906
21,3700.0,10155.97246922594,37577098.13613598,155.7006185217906
22,3700.0,9155.945284155525,33876997.55137544,155.7006185217906
23,3700.0,8255.920817592152,30546907.025090963,155.7006185217906
24,3700.0,7445.898797685116,27549825.551434927,155.7006185217906
25,3700.0,6716.878979768783,24852452.225144498,155.7006185217906
26,3700.0,6060.761143644084,22424816.23148311,155.7006185217906
27,3700.0,5470.255091131855,20239943.837187864,155.7006185217906
28,3700.0,4938.799643870849,18273558.68232214,155.7006185217906
29,3700.0,4460.489741335943,16503812.04294299,155.7006185217906
30,3700.0,4030.010829054528,14911040.067501754,155.7006185217906
31,3700.0,3642.5798080012537,13477545.289604638,155.7006185217906
32,3700.0,3293.8918890533078,12187399.989497239,155.7006185217906
33,3700.0,2980.072762000156,11026269.219400577,155.7006185217906
34,3700.0,2697.6355476523195,9981251.526313582,155.7006185217906
35,3700.0,2443.4420547392665,9040735.602535287,155.7006185217906
36,3700.0,2214.667911117519,8194271.27113482,155.7006185217906
37,3700.0,2008.7711818579464,7432453.3728744015,155.7006185217906
38,3700.0,1823.4641255243307,6746817.264440023,155.7006185217906
39,3700.0,1656.6877748240768,6129744.766849084,155.7006185217906
40,3700.0,1506.5890591938482,5574379.519017238,155.7006185217906
41,3700.0,1371.5002151266424,5074550.795968577,155.7006185217906
42,3700.0,1249.9202554661572,4624704.9452247815,155.7006185217906
43,3700.0,1140.4982917717205,4219843.679555366,155.7006185217906
44,3700.0,1042.0185244467275,3855468.540452892,155.7006185217906
45,3700.0,953.386733854234,3527530.9152606656,155.7006185217906
46,3700.0,873.6181223209895,3232387.0525876614,155.7006185217906
47,3700.0,801.8263719410696,2966757.5761819575,155.7006185217906
48,3700.0,737.2137965991417,2727691.0474168244,155.7006185217906
49,3700.0,679.0624787914065,2512531.1715282043,155.7006185217906
50,3700.0,626.7262927644449,2318887.2832284463,155.7006185217906
51,3700.0,579.6237253401795,2144607.783758664,155.7006185217906
52,3700.0,537.2314146583406,1987756.23423586,155.7006185217906
53,3700.0,499.0783350446856,1846589.8396653368,155.7006185217906
54,3700.0,464.740563392396,1719540.0845518652,155.7006185217906
55,3700.0,433.8365689053355,1605195.3049497413,155.7006185217906
56,3700.0,406.022973866981,1502285.0033078296,155.7006185217906
57,3700.0,380.990738332462,1409665.7318301094,155.7006185217906
58,3700.0,358.4617263513949,1326308.387500161,155.7006185217906
59,3700.0,338.18561556843446,1251286.7776032074,155.7006185217906
60,3700.0,319.9371158637701,1183767.3286959494,155.7006185217906
61,3700.0,303.5134661295721,1122999.8246794168,155.7006185217906
62,3700.0,288.732181368794,1068309.0710645379,155.7006185217906
63,3700.0,275.42902508409367,1019087.3928111466,155.7006185217906
64,3700.0,263.4561844278634,974787.8823830945,155.7006185217906
65,3700.0,252.6806278372561,934918.3229978476,155.7006185217906
66,3700.0,242.9826269057096,899035.7195511255,155.7006185217906
67,3700.0,234.25442606731767,866741.3764490754,155.7006185217906
68,3700.0,226.39904531276497,837676.4676572303,155.7006185217906
69,3700.0,219.32920263366756,811518.0497445699,155.7006185217906
70,3700.0,212.96634422247985,787975.4736231754,155.7006185217906
71,3700.0,207.23977165241087,766787.1551139202,155.7006185217906
72,3700.0,202.08585633934888,747717.6684555908,155.7006185217906
73,3700.0,197.44733255759303,730555.1304630942,155.7006185217906
74,3700.0,193.2726611540128,715108.8462698474,155.7006185217906
75,3700.0,189.51545689079057,701207.1904959251,155.7006185217906
76,3700.0,186.13397305389057,688695.7002993951,155.7006185217906
77,3700.0,183.09063760068057,677435.3591225181,155.7006185217906
78,3700.0,180.3516356927916,667301.0520633289,155.7006185217906
79,3700.0,177.88653397569146,658180.1757100584,155.7006185217906
80,3700.0,175.66794243030137,649971.3869921151,155.7006185217906
81,3700.0,173.6712100394503,642583.4771459661,155.7006185217906
82,3700.0,171.87415088768432,635934.358284432,155.7006185217906
83,3700.0,170.25679765109496,629950.1513090513,155.7006185217906
84,3700.0,168.80117973816454,624564.3650312087,155.7006185217906
85,3700.0,167.49112361652715,619717.1573811504,155.7006185217906
86,3700.0,166.3120731070535,615354.6704960979,155.7006185217906
87,3700.0,165.2509276485272,611428.4322995506,155.7006185217906
88,3700.0,164.29589673585355,607894.8179226582,155.7006185217906
89,3700.0,163.43636891444726,604714.5649834549,155.7006185217906
90,3700.0,162.6627938751816,601852.3373381719,155.7006185217906
91,3700.0,161.9665763398425,599276.3324574173,155.7006185217906
92,3700.0,161.33998055803733,596957.928064738,155.7006185217906
93,3700.0,160.77604435441265,594871.3641113268,155.7006185217906
94,3700.0,160.26850177115043,592993.4565532566,155.7006185217906
95,3700.0,159.81171344621447,591303.3397509935,155.7006185217906
96,3700.0,159.40060395377208,589782.2346289566,155.7006185217906
97,3700.0,159.03060541057394,588413.2400191235,155.7006185217906
98,3700.0,158.6976067216956,587181.1448702737,155.7006185217906
99,3700.0,158.39790790170508,586072.2592363087,155.7006185217906
100,3508.888260891451,501.3250873054271,1759093.713736395,3587.669701938925
101,3304.548886233272,1176.910537558293,3889158.4060844583,7257.179589834086
102,3289.921362060067,1811.2054318500404,5958723.441322677,7519.859480475767
103,3289.921362060067,2382.070836712613,7836825.731641124,7519.859480475767
104,3289.921362060067,2895.8497010889287,9527117.792927727,7519.859480475767
105,3289.921362060067,3358.2506790276125,11048380.648085669,7519.859480475767
106,3289.921362060067,3774.411559172428,12417517.217727816,7519.859480475767
107,3289.921362060067,4148.956351302762,13649740.13040575,7519.859480475767
108,3289.921362060067,4486.046664220063,14758740.751815889,7519.859480475767
109,3289.921362060067,4789.427945845633,15756841.311085016,7519.859480475767
110,3289.921362060067,5062.471099308646,16655131.814427227,7519.859480475767
111,3289.921362060067,5308.2099374253585,17463593.26743522,7519.859480475767
112,3289.921362060067,5529.374891730399,18191208.57514241,7519.859480475767
113,3289.921362060067,5728.423350604936,18846062.352078885,7519.859480475767
114,3289.921362060067,5907.5669635920185,19435430.751321707,7519.859480475767
115,3079.606627446681,6446.4777069287165,19852615.469944958,11296.674396959002
116,2849.2042979758676,7345.252007216845,20928123.588678103,15434.220709810004
117,2780.9864310203457,8276.653968696663,23017262.38119611,16659.271622015018
