step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,2219.5042458857642
1,3700.0,82616.95042458858,305682716.57097775,2219.5042458857642
2,3700.0,74577.2058067183,275935661.4848577,2219.5042458857642
3,3700.0,67341.43565063505,249163311.90734968,2219.5042458857642
4,3700.0,60829.24251016012,225068197.28759244,2219.5042458857642
5,3700.0,54968.26868373269,203382594.12981096,2219.5042458857642
6,3700.0,49693.39223994799,183865551.28780758,2219.5042458857642
7,3700.0,44946.00344054177,166300212.73000455,2219.5042458857642
8,3700.0,40673.35352107617,150491408.02798182,2219.5042458857642
9,3700.0,36827.96859355713,136263483.79616138,2219.5042458857642
10,3700.0,33367.12215878999,123458351.98752297,2219.5042458857642
11,3700.0,30252.36036749957,111933733.35974841,2219.5042458857642
12,3700.0,27449.074755338188,101561576.5947513,2219.5042458857642
13,3700.0,24926.117704392946,92226635.5062539,2219.5042458857642
14,3700.0,22655.45635854223,83825188.52660625,2219.5042458857642
15,3700.0,20611.861147276584,76263886.24492337,2219.5042458857642
16,3700.0,18772.625457137503,69458714.19140877,2219.5042458857642
17,3700.0,17117.31333601233,63334059.34324562,2219.5042458857642
18,3700.0,15627.53242699967,57821869.97989878,2219.5042458857642
19,3700.0,14286.72960888828,52860899.552886635,2219.5042458857642
20,3700.0,13080.007072588029,48396026.168575704,2219.5042458857642
21,3700.0,11993.956789917802,44377640.12269586,2219.5042458857642
22,3700.0,11016.511535514595,40761092.681404,2219.5042458857642
23,3700.0,10136.810806551714,37506199.98424134,2219.5042458857642
24,3700.0,9345.08015048512,34576796.55679495,2219.5042458857642
25,3700.0,8632.522560025183,31940333.47209318,2219.5042458857642
26,3700.0,7991.220728611242,29567516.695861593,2219.5042458857642
27,3700.0,7414.049080338694,27431981.597253166,2219.5042458857642
28,3700.0,6894.594596893401,25510000.008505583,2219.5042458857642
29,3700.0,6427.085561792637,23780216.578632757,2219.5042458857642
30,3700.0,6006.32743020195,22223411.491747215,2219.5042458857642
31,3700.0,5627.645111770331,20822286.913550224,2219.5042458857642
32,3700.0,5286.831025181874,19561274.793172933,2219.5042458857642
33,3700.0,4980.098347252263,18426363.884833373,2219.5042458857642
34,3700.0,4704.038937115613,17404944.06732777,2219.5042458857642
35,3700.0,4455.585467992629,16485666.231572727,2219.5042458857642
36,3700.0,4231.977345781942,15658316.179393185,2219.5042458857642
37,3700.0,4030.730035792324,14913701.132431598,2219.5042458857642
38,3700.0,3849.607456801668,14243547.590166172,2219.5042458857642
39,3700.0,3686.5971357100775,13640409.402127286,2219.5042458857642
40,3700.0,3539.8878467276463,13097585.03289229,2219.5042458857642
41,3700.0,3407.849486643458,12609043.100580795,2219.5042458857642
42,3700.0,3289.0149625676886,12169355.361500448,2219.5042458857642
43,3700.0,3182.063890899496,11773636.396328136,2219.5042458857642
44,3700.0,3085.807926398123,11417489.327673055,2219.5042458857642
45,3700.0,2999.177558346887,11096956.965883482,2219.5042458857642
46,3700.0,2921.210227100775,10808477.840272866,2219.5042458857642
47,3700.0,2851.039628979274,10548846.627223313,2219.5042458857642
48,3700.0,2787.886090669923,10315178.535478715,2219.5042458857642
49,3700.0,2731.047906191507,10104877.252908576,2219.5042458857642
50,3700.0,2679.893540160933,9915606.098595452,2219.5042458857642
51,3700.0,2633.854610733416,9745262.05971364,2219.5042458857642
52,3700.0,2592.419574248651,9591952.424720008,2219.5042458857642
53,3700.0,2555.128041412362,9453973.75322574,2219.5042458857642
54,3700.0,2521.5656618597022,9329792.948880898,2219.5042458857642
55,3700.0,2491.3595202623083,9218030.22497054,2219.5042458857642
56,3700.0,2464.173992824654,9117443.773451218,2219.5042458857642
57,3700.0,2439.707018130765,9026915.96708383,2219.5042458857642
58,3700.0,2417.6867409062647,8945440.94135318,2219.5042458857642
59,3700.0,2397.868491404214,8872113.418195592,2219.5042458857642
60,3700.0,2380.0320668523696,8806118.647353766,2219.5042458857642
61,3700.0,2363.979284755709,8746723.353596125,2219.5042458857642
62,3700.0,2349.5317808687146,8693267.589214245,2219.5042458857642
63,3700.0,2336.5290273704195,8645157.401270552,2219.5042458857642
64,3700.0,2324.826549221954,8601858.23212123,2219.5042458857642
65,3700.0,2314.294318888335,8562888.97988684,2219.5042458857642
66,3700.0,2304.8153115880777,8527816.652875887,2219.5042458857642
67,3700.0,2296.2842050178465,8496251.558566032,2219.5042458857642
68,3700.0,2288.6062091046383,8467842.973687163,2219.5042458857642
69,3700.0,2281.696012782751,8442275.247296179,2219.5042458857642
70,3700.0,2275.4768360930525,8419264.293544294,2219.5042458857642
71,3700.0,2269.879577072324,8398554.4351676,2219.5042458857642
72,3700.0,2264.842043953668,8379915.562628572,2219.5042458857642
73,3700.0,2260.3082641468773,8363140.577343446,2219.5042458857642
74,3700.0,2256.227862320766,8348043.090586834,2219.5042458857642
75,3700.0,2252.5555006772656,8334455.352505883,2219.5042458857642
76,3700.0,2249.2503751981158,8322226.388233028,2219.5042458857642
77,3700.0,2246.27576226688,8311220.320387457,2219.5042458857642
78,3700.0,2243.5986106287683,8301314.859326443,2219.5042458857642
79,3700.0,2241.189174154468,8292399.944371533,2219.5042458857642
80,3700.0,2239.020681327597,8284376.520912108,2219.5042458857642
81,3700.0,2237.069037783414,8277155.439798632,2219.5042458857642
82,3700.0,2235.312558593649,8270656.466796502,2219.5042458857642
83,3700.0,2233.7317273228605,8264807.391094584,2219.5042458857642
84,3700.0,2232.308979179151,8259543.222962858,2219.5042458857642
85,3700.0,2231.028505849812,8254805.471644305,2219.5042458857642
86,3700.0,2229.876079853407,8250541.495457606,2219.5042458857642
87,3700.0,2228.838896456643,8246703.916889579,2219.5042458857642
