step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,421.0721986764838
1,3700.0,82437.10721986764,305017296.7135103,421.0721986764838
2,3700.0,74235.50371774852,274671363.75566953,421.0721986764838
3,3700.0,66854.06056584131,247360024.09361285,421.0721986764838
4,3700.0,60210.76172912483,222779818.39776188,421.0721986764838
5,3700.0,54231.79277608,200657633.271496,421.0721986764838
6,3700.0,48850.72071833964,180747666.65785667,421.0721986764838
7,3700.0,44007.75586637332,162828696.70558128,421.0721986764838
8,3700.0,39649.08749960364,146701623.74853346,421.0721986764838
9,3700.0,35726.28596951092,132187258.0871904,421.0721986764838
10,3700.0,32195.76459242748,119124328.99198167,421.0721986764838
11,3700.0,29018.295353052377,107367692.8062938,421.0721986764838
12,3700.0,26158.573037614788,96786720.23917471,421.0721986764838
13,3700.0,23584.822953720955,87263844.92876753,421.0721986764838
14,3700.0,21268.44787821651,78693257.14940108,421.0721986764838
15,3700.0,19183.710310262508,70979728.14797127,421.0721986764838
16,3700.0,17307.446499103906,64037552.04668445,421.0721986764838
17,3700.0,15618.809069061164,57789593.55552631,421.0721986764838
18,3700.0,14099.035382022696,52166430.91348397,421.0721986764838
19,3700.0,12731.239063688074,47105584.53564587,421.0721986764838
20,3700.0,11500.222377186914,42550822.79559158,421.0721986764838
21,3700.0,10392.307359335871,38451537.229542725,421.0721986764838
22,3700.0,9395.183843269931,34762180.22009875,421.0721986764838
23,3700.0,8497.772678810588,31441758.911599178,421.0721986764838
24,3700.0,7690.102630797178,28453379.733949557,421.0721986764838
25,3700.0,6963.199587585108,25763838.4740649,421.0721986764838
26,3700.0,6308.986848694245,23343251.340168707,421.0721986764838
27,3700.0,5720.195383692469,21164722.919662133,421.0721986764838
28,3700.0,5190.28306519087,19204047.34120622,421.0721986764838
29,3700.0,4713.361978539431,17439439.320595894,421.0721986764838
30,3700.0,4284.133000553136,15851292.102046605,421.0721986764838
31,3700.0,3897.826920365471,14421959.605352242,421.0721986764838
32,3700.0,3550.1514481965723,13135560.358327318,421.0721986764838
33,3700.0,3237.243523244563,11977801.036004884,421.0721986764838
34,3700.0,2955.626390787755,10935817.645914694,421.0721986764838
35,3700.0,2702.170971576628,9998032.594833523,421.0721986764838
36,3700.0,2474.0610942866133,9154026.04886047,421.0721986764838
37,3700.0,2268.7622047256004,8394420.157484721,421.0721986764838
38,3700.0,2083.993204120689,7710774.855246549,421.0721986764838
39,3700.0,1917.7011035762685,7095494.083232193,421.0721986764838
40,3700.0,1768.03821308629,6541741.388419272,421.0721986764838
41,3700.0,1633.3416116453093,6043363.963087644,421.0721986764838
42,3700.0,1512.114670348427,5594824.28028918,421.0721986764838
43,3700.0,1403.0104231812325,5191138.56577056,421.0721986764838
44,3700.0,1304.8166007307575,4827821.422703803,421.0721986764838
45,3700.0,1216.44216052533,4500835.993943721,421.0721986764838
46,3700.0,1136.9051643404457,4206549.108059649,421.0721986764838
47,3700.0,1065.3218677740492,3941690.910763982,421.0721986764838
48,3700.0,1000.8969008642928,3703318.533197883,421.0721986764838
49,3700.0,942.9144306455116,3488783.393388393,421.0721986764838
50,3700.0,890.730207448609,3295701.7675598534,421.0721986764838
51,3700.0,843.7644065713965,3121928.3043141672,421.0721986764838
52,3700.0,801.4951857819053,2965532.1873930497,421.0721986764838
53,3700.0,763.4528870713632,2824775.6821640437,421.0721986764838
54,3700.0,729.2148182318753,2698094.8274579383,421.0721986764838
55,3700.0,698.4005562763361,2584082.058222444,421.0721986764838
56,3700.0,670.6677205163509,2481470.565910498,421.0721986764838
57,3700.0,645.7081683323642,2389120.2228297475,421.0721986764838
58,3700.0,623.2445713667761,2306004.9140570713,421.0721986764838
59,3700.0,603.0273340977469,2231201.1361616636,421.0721986764838
60,3700.0,584.8318205556207,2163877.7360557965,421.0721986764838
61,3700.0,568.4558583677069,2103286.6759605156,421.0721986764838
62,3700.0,553.7174923985846,2048754.7218747628,421.0721986764838
63,3700.0,540.4529630263745,1999675.9631975857,421.0721986764838
64,3700.0,528.5148865913854,1955505.0803881262,421.0721986764838
65,3700.0,517.7706177998953,1915751.2858596125,421.0721986764838
66,3700.0,508.1007758875541,1879972.8707839502,421.0721986764838
67,3700.0,499.3979181664471,1847772.2972158543,421.0721986764838
68,3700.0,491.5653462174508,1818791.7810045679,421.0721986764838
69,3700.0,484.51603146335407,1792709.31641441,421.0721986764838
70,3700.0,478.1716481846671,1769235.0982832683,421.0721986764838
71,3700.0,472.4617032338487,1748108.3019652402,421.0721986764838
72,3700.0,467.3227527781122,1729094.1852790152,421.0721986764838
73,3700.0,462.6976973679494,1711981.4802614127,421.0721986764838
74,3700.0,458.5351474988028,1696580.0457455704,421.0721986764838
75,3700.0,454.7888526165709,1682718.7546813125,421.0721986764838
76,3700.0,451.41718722256223,1670243.5927234802,421.0721986764838
77,3700.0,448.3826883679544,1659015.9469614313,421.0721986764838
78,3700.0,445.6516393988073,1648911.065775587,421.0721986764838
79,3700.0,443.193695326575,1639816.6727083274,421.0721986764838
80,3700.0,440.98154566156586,1631631.7189477936,421.0721986764838
81,3700.0,438.9906109630576,1624265.260563313,421.0721986764838
82,3700.0,437.1987697344002,1617635.4480172805,421.0721986764838
83,3700.0,435.5861126286086,1611668.6167258518,421.0721986764838
84,3700.0,434.13472123339614,1606298.4685635658,421.0721986764838
85,3700.0,432.8284689777049,1601465.3352175083,421.0721986764838
86,3700.0,431.6528419475828,1597115.5152060562,421.0721986764838
87,3700.0,430.59477762047294,1593200.67719575,421.0721986764838
88,3700.0,429.64251972607406,1589677.322986474,421.0721986764838
89,3700.0,428.785487621115,1586506.3041981256,421.0721986764838
90,3700.0,428.0141587266519,1583652.387288612,421.0721986764838
91,3700.0,427.3199627216351,1581083.8620700499,421.0721986764838
92,3700.0,426.69518631712,1578772.189373344,421.0721986764838
93,3700.0,426.1328875530564,1576691.6839463087,421.0721986764838
94,3700.0,425.6268186653991,1574819.2290619768,421.0721986764838
95,3700.0,425.1713566665076,1573134.0196660783,421.0721986764838
96,3700.0,424.76144086750526,1571617.3312097695,421.0721986764838
97,3700.0,424.3925166484031,1570252.3115990914,421.0721986764838
98,3700.0,424.0604848512112,1569023.7939494813,421.0721986764838
99,3700.0,423.7616562337385,1567918.1280648324,421.0721986764838
100,3499.423460278818,859.7679769336974,3008692.2288782382,4783.824863233327
101,3312.2868798359086,1659.2155938461322,5495798.042315689,8854.244146058045
102,3306.933129507933,2390.3634243676343,7904771.9996053595,8970.693899061152
103,3306.933129507933,3048.396471836986,10080843.284592826,8970.693899061152
104,3306.933129507933,3640.626214559403,12039307.441081544,8970.693899061152
105,3306.933129507933,4173.632983009577,13801925.18192139,8970.693899061152
106,3306.933129507933,4653.339074614735,15388281.148677254,8970.693899061152
107,3306.933129507933,5085.074557059377,16816001.51875753,8970.693899061152
108,3306.933129507933,5473.6364912595545,18100949.85182978,8970.693899061152
109,3306.933129507933,5823.342232039714,19257403.351594802,8970.693899061152
110,3306.933129507933,6138.077398741858,20298211.501383323,8970.693899061152
111,3306.933129507933,6421.339048773787,21234938.83619299,8970.693899061152
112,3306.933129507933,6676.274533802523,22077993.437521692,8970.693899061152
113,3306.933129507933,6905.716470328386,22836742.578717526,8970.693899061152
114,3306.933129507933,7112.2142132016625,23519616.805793773,8970.693899061152
115,3108.9934757622123,7728.601941323309,24028173.012337334,13276.091494418128
116,2778.4355445168117,9002.349488061263,25012447.801792137,20466.077408702848
117,2653.7552732076,10419.915105880651,27651904.658606306,23178.005666255136
118,2653.7552732076,11695.7241619181,31037589.668671697,23178.005666255136
119,2653.7552732076,12843.952312351805,34084706.17773055,23178.005666255136
120,2653.7552732076,13877.357647742137,36827111.035883516,23178.005666255136
121,2653.7552732076,14807.422449593438,39295275.408221185,23178.005666255136
122,2653.7552732076,15644.480771259608,41516623.343325086,23178.005666255136
123,2653.7552732076,16397.833260759162,43515836.4849186,23178.005666255136
124,2653.7552732076,17075.85050130876,45315128.31235276,23178.005666255136
