step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,8016.825521275197
1,3700.0,83196.68255212752,307827725.4428718,8016.825521275197
2,3700.0,75678.69684904229,280011178.3414565,8016.825521275197
3,3700.0,68912.50971626557,254976285.95018262,8016.825521275197
4,3700.0,62822.94129676653,232444882.79803616,8016.825521275197
5,3700.0,57342.3297192174,212166619.9611044,8016.825521275197
6,3700.0,52409.77929942318,193916183.40786576,8016.825521275197
7,3700.0,47970.48392160838,177490790.509951,8016.825521275197
8,3700.0,43975.11808157506,162707936.90182772,8016.825521275197
9,3700.0,40379.288825545074,149403368.6545168,8016.825521275197
10,3700.0,37143.04249511809,137429257.23193693,8016.825521275197
11,3700.0,34230.4207977338,126652556.95161507,8016.825521275197
12,3700.0,31609.06127008794,116953526.69932537,8016.825521275197
13,3700.0,29249.837695206665,108224399.47226466,8016.825521275197
14,3700.0,27126.53647781352,100368184.96791002,8016.825521275197
15,3700.0,25215.56538215969,93297591.91399086,8016.825521275197
16,3700.0,23495.69139607124,86934058.1654636,8016.825521275197
17,3700.0,21947.804808591634,81206877.79178904,8016.825521275197
18,3700.0,20554.70687985999,76052415.45548196,8016.825521275197
19,3700.0,19300.918744001512,71413399.3528056,8016.825521275197
20,3700.0,18172.50942172888,67238284.86039685,8016.825521275197
21,3700.0,17156.94103168351,63480681.81722898,8016.825521275197
22,3700.0,16242.92948064268,60098839.07837792,8016.825521275197
23,3700.0,15420.31908470593,57055180.61341194,8016.825521275197
24,3700.0,14679.969728362856,54315887.99494257,8016.825521275197
25,3700.0,14013.655307654091,51850524.63832014,8016.825521275197
26,3700.0,13413.972329016202,49631697.61735994,8016.825521275197
27,3700.0,12874.2576482421,47634753.29849577,8016.825521275197
28,3700.0,12388.51443554541,45837503.411518015,8016.825521275197
29,3700.0,11951.345544118389,44219978.513238035,8016.825521275197
30,3700.0,11557.89354183407,42764206.10478606,8016.825521275197
31,3700.0,11203.786739778185,41454010.93717928,8016.825521275197
32,3700.0,10885.090617927885,40274835.28633317,8016.825521275197
33,3700.0,10598.264108262616,39213577.20057168,8016.825521275197
34,3700.0,10340.120249563874,38258444.923386335,8016.825521275197
35,3700.0,10107.790776735006,37398825.873919524,8016.825521275197
36,3700.0,9898.694251189025,36625168.72939939,8016.825521275197
37,3700.0,9710.507378197644,35928877.299331285,8016.825521275197
38,3700.0,9541.139192505398,35302215.012269974,8016.825521275197
39,3700.0,9388.707825382378,34738218.9539148,8016.825521275197
40,3700.0,9251.51959497166,34230622.50139514,8016.825521275197
41,3700.0,9128.050187602012,33773785.69412744,8016.825521275197
42,3700.0,9016.927720969332,33362632.567586526,8016.825521275197
43,3700.0,8916.917500999918,32992594.753699698,8016.825521275197
44,3700.0,8826.908303027445,32659560.721201546,8016.825521275197
45,3700.0,8745.90002485222,32359830.091953218,8016.825521275197
46,3700.0,8672.992574494518,32090072.525629714,8016.825521275197
47,3700.0,8607.375869172585,31847290.715938564,8016.825521275197
48,3700.0,8548.320834382846,31628787.08721653,8016.825521275197
49,3700.0,8495.171303072082,31432133.821366705,8016.825521275197
50,3700.0,8447.336724892393,31255145.882101856,8016.825521275197
51,3700.0,8404.285604530674,31095856.736763496,8016.825521275197
52,3700.0,8365.539596205126,30952496.505958967,8016.825521275197
53,3700.0,8330.668188712134,30823472.298234895,8016.825521275197
54,3700.0,8299.283921968441,30707350.511283234,8016.825521275197
55,3700.0,8271.038081899116,30602840.90302673,8016.825521275197
56,3700.0,8245.616825836725,30508782.25559588,8016.825521275197
57,3700.0,8222.737695380572,30424129.472908117,8016.825521275197
58,3700.0,8202.146477970035,30347941.96848913,8016.825521275197
59,3700.0,8183.6143823005505,30279373.214512035,8016.825521275197
60,3700.0,8166.935496198015,30217661.335932657,8016.825521275197
61,3700.0,8151.924498705734,30162120.645211216,8016.825521275197
62,3700.0,8138.41460096268,30112134.023561917,8016.825521275197
63,3700.0,8126.255692993932,30067146.06407755,8016.825521275197
64,3700.0,8115.312675822059,30026656.90054162,8016.825521275197
65,3700.0,8105.463960367372,29990216.65335928,8016.825521275197
66,3700.0,8096.600116458155,29957420.430895172,8016.825521275197
67,3700.0,8088.622656939859,29927903.830677476,8016.825521275197
68,3700.0,8081.442943373392,29901338.89048155,8016.825521275197
69,3700.0,8074.981201163573,29877430.44430522,8016.825521275197
70,3700.0,8069.165633174735,29855912.842746522,8016.825521275197
71,3700.0,8063.931621984781,29836547.00134369,8016.825521275197
72,3700.0,8059.221011913823,29819117.744081143,8016.825521275197
73,3700.0,8054.981462849961,29803431.412544854,8016.825521275197
74,3700.0,8051.165868692485,29789313.714162193,8016.825521275197
75,3700.0,8047.731833950756,29776607.785617795,8016.825521275197
76,3700.0,8044.6412026832,29765172.44992784,8016.825521275197
77,3700.0,8041.8596345424,29754880.647806883,8016.825521275197
78,3700.0,8039.35622321568,29745618.025898017,8016.825521275197
79,3700.0,8037.103153021631,29737281.666180037,8016.825521275197
80,3700.0,8035.075389846988,29729778.942433856,8016.825521275197
81,3700.0,8033.250402989809,29723026.491062295,8016.825521275197
82,3700.0,8031.607914818348,29716949.284827888,8016.825521275197
83,3700.0,8030.129675464033,29711479.799216922,8016.825521275197
84,3700.0,8028.79926004515,29706557.262167055,8016.825521275197
85,3700.0,8027.601886168155,29702126.978822175,8016.825521275197
86,3700.0,8026.52424967886,29698139.72381178,8016.825521275197
87,3700.0,8025.554376838493,29694551.194302425,8016.825521275197
88,3700.0,8024.681491282164,29691321.517744005,8016.825521275197
89,3700.0,8023.895894281467,29688414.80884143,8016.825521275197
90,3700.0,8023.18885698084,29685798.770829108,8016.825521275197
91,3700.0,8022.552523410275,29683444.336618017,8016.825521275197
92,3700.0,8021.979823196767,29681325.345828038,8016.825521275197
93,3700.0,8021.46439300461,29679418.254117057,8016.825521275197
94,3700.0,8021.000505831669,29677701.871577177,8016.825521275197
95,3700.0,8020.583007376022,29676157.12729128,8016.825521275197
96,3700.0,8020.2072587659395,29674766.857433975,8016.825521275197
97,3700.0,8019.869085016865,29673515.6145624,8016.825521275197
98,3700.0,8019.564728642698,29672389.495977983,8016.825521275197
99,3700.0,8019.290807905948,29671375.98925201,8016.825521275197
100,3473.5850186030098,9390.2817868369,32617942.135217357,21729.200597215473
101,3264.5190904696515,11890.340069265672,38816242.148294024,34390.86461112462
