step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,4703.547235778271
1,3700.0,82865.35472357782,306601812.47723794,4703.547235778271
2,3700.0,75049.17397479787,277681943.7067521,4703.547235778271
3,3700.0,68014.61130089591,251654061.81331486,4703.547235778271
4,3700.0,61683.50489438414,228228968.1092213,4703.547235778271
5,3700.0,55985.509128523554,207146383.77553716,4703.547235778271
6,3700.0,50857.31293924902,188172057.87522137,4703.547235778271
7,3700.0,46241.936368901945,171095164.5649372,4703.547235778271
8,3700.0,42088.09745558958,155725960.58568144,4703.547235778271
9,3700.0,38349.64243360845,141893677.0043513,4703.547235778271
10,3700.0,34985.03291382543,129444621.7811541,4703.547235778271
11,3700.0,31956.884346020717,118240472.08027665,4703.547235778271
12,3700.0,29231.55063499647,108156737.34948695,4703.547235778271
13,3700.0,26778.75029507465,99081376.0917762,4703.547235778271
14,3700.0,24571.229989145013,90913550.95983654,4703.547235778271
15,3700.0,22584.461713808338,83562508.34109084,4703.547235778271
16,3700.0,20796.37026600533,76946569.98421973,4703.547235778271
17,3700.0,19187.087962982627,70992225.46303572,4703.547235778271
18,3700.0,17738.733890262192,65633315.39397011,4703.547235778271
19,3700.0,16435.2152248138,60810296.33181106,4703.547235778271
20,3700.0,15262.048425910249,56469579.17586792,4703.547235778271
21,3700.0,14206.198306897051,52562933.73551909,4703.547235778271
22,3700.0,13255.933199785171,49046952.83920513,4703.547235778271
23,3700.0,12400.694603384483,45882570.03252259,4703.547235778271
24,3700.0,11630.979866623862,43034625.50650829,4703.547235778271
25,3700.0,10938.236603539302,40471475.43309542,4703.547235778271
26,3700.0,10314.7676667632,38164640.36702384,4703.547235778271
27,3700.0,9753.645623664706,36088488.807559416,4703.547235778271
28,3700.0,9248.635784876064,34219952.40404143,4703.547235778271
29,3700.0,8794.126929966284,32538269.64087525,4703.547235778271
30,3700.0,8385.068960547482,31024755.15402568,4703.547235778271
31,3700.0,8016.916788070561,29662592.115861077,4703.547235778271
32,3700.0,7685.579832841332,28436645.38151293,4703.547235778271
33,3700.0,7387.376573135026,27333293.320599597,4703.547235778271
34,3700.0,7118.99363939935,26340276.465777595,4703.547235778271
35,3700.0,6877.448999037242,25446561.296437796,4703.547235778271
36,3700.0,6660.058822711345,24642217.644031975,4703.547235778271
37,3700.0,6464.407664018037,23918308.35686674,4703.547235778271
38,3700.0,6288.321621194061,23266789.998418026,4703.547235778271
39,3700.0,6129.844182652481,22680423.475814182,4703.547235778271
40,3700.0,5987.2144879650605,22152693.605470724,4703.547235778271
41,3700.0,5858.847762746382,21677736.722161613,4703.547235778271
42,3700.0,5743.31771004957,21250275.52718341,4703.547235778271
43,3700.0,5639.3406626224405,20865560.45170303,4703.547235778271
44,3700.0,5545.761319938024,20519316.88377069,4703.547235778271
45,3700.0,5461.539911522049,20207697.67263158,4703.547235778271
46,3700.0,5385.740643947671,19927240.382606383,4703.547235778271
47,3700.0,5317.521303130731,19674828.821583707,4703.547235778271
48,3700.0,5256.123896395486,19447658.416663297,4703.547235778271
49,3700.0,5200.866230333764,19243205.05223493,4703.547235778271
50,3700.0,5151.134330878215,19059197.024249397,4703.547235778271
51,3700.0,5106.375621368221,18893589.799062416,4703.547235778271
52,3700.0,5066.092782809226,18744543.296394136,4703.547235778271
53,3700.0,5029.83822810613,18610401.44399268,4703.547235778271
54,3700.0,4997.2091288733445,18489673.776831374,4703.547235778271
55,3700.0,4967.842939563837,18381018.876386195,4703.547235778271
56,3700.0,4941.41336918528,18283229.465985537,4703.547235778271
57,3700.0,4917.62675584458,18195218.996624947,4703.547235778271
58,3700.0,4896.218803837949,18116009.57420041,4703.547235778271
59,3700.0,4876.951647031981,18044721.094018333,4703.547235778271
60,3700.0,4859.61120590661,17980561.461854458,4703.547235778271
61,3700.0,4844.0048088937765,17922817.792906974,4703.547235778271
62,3700.0,4829.959051582226,17870848.490854234,4703.547235778271
63,3700.0,4817.31787000183,17824076.11900677,4703.547235778271
64,3700.0,4805.940806579474,17781980.984344054,4703.547235778271
65,3700.0,4795.701449499354,17744095.36314761,4703.547235778271
66,3700.0,4786.486028127245,17709998.304070808,4703.547235778271
67,3700.0,4778.192148892347,17679310.950901683,4703.547235778271
68,3700.0,4770.727657580939,17651692.333049476,4703.547235778271
69,3700.0,4764.009615400672,17626835.576982487,4703.547235778271
70,3700.0,4757.963377438432,17604464.4965222,4703.547235778271
71,3700.0,4752.521763272416,17584330.52410794,4703.547235778271
72,3700.0,4747.624310523001,17566209.948935106,4703.547235778271
73,3700.0,4743.216603048529,17549901.431279555,4703.547235778271
74,3700.0,4739.249666321502,17535223.765389558,4703.547235778271
75,3700.0,4735.679423267179,17522013.86608856,4703.547235778271
76,3700.0,4732.466204518289,17510124.956717666,4703.547235778271
77,3700.0,4729.574307644287,17499424.93828386,4703.547235778271
78,3700.0,4726.971600457685,17489794.921693433,4703.547235778271
79,3700.0,4724.629163989744,17481127.906762052,4703.547235778271
80,3700.0,4722.520971168597,17473327.59332381,4703.547235778271
81,3700.0,4720.623597629564,17466307.311229385,4703.547235778271
82,3700.0,4718.915961444434,17459989.057344407,4703.547235778271
83,3700.0,4717.379088877818,17454302.628847927,4703.547235778271
84,3700.0,4715.995903567863,17449184.843201093,4703.547235778271
85,3700.0,4714.751036788904,17444578.836118944,4703.547235778271
86,3700.0,4713.63065668784,17440433.429745007,4703.547235778271
87,3700.0,4712.622314596883,17436702.564008467,4703.547235778271
88,3700.0,4711.714806715022,17433344.78484558,4703.547235778271
89,3700.0,4710.898049621347,17430322.783598986,4703.547235778271
90,3700.0,4710.162968237039,17427602.982477047,4703.547235778271
91,3700.0,4709.501394991163,17425155.161467303,4703.547235778271
92,3700.0,4708.905979069874,17422952.122558534,4703.547235778271
93,3700.0,4708.370104740714,17420969.387540642,4703.547235778271
94,3700.0,4707.887817844469,17419184.926024538,4703.547235778271
95,3700.0,4707.4537596378495,17417578.910660043,4703.547235778271
96,3700.0,4707.063107251892,17416133.496832,4703.547235778271
97,3700.0,4706.71152010453,17414832.62438676,4703.547235778271
98,3700.0,4706.395091671904,17413661.839186046,4703.547235778271
99,3700.0,4706.110306082541,17412608.132505402,4703.547235778271
100,3498.2535912565518,5686.21315175462,19891815.578775838,14507.13876280334
101,3300.79435594832,7527.831931074514,24847825.1506183,24102.40094495355
102,3300.79435594832,9185.288832462418,30318749.535947084,24102.40094495355
103,3300.79435594832,10677.000043711532,35242581.482742995,24102.40094495355
104,3300.79435594832,12019.540133835733,39674030.2348593,24102.40094495355
105,3300.79435594832,13227.826214947516,43662334.11176399,24102.40094495355
106,3300.79435594832,14315.28368794812,47251807.60097821,24102.40094495355
107,3300.79435594832,15293.995413648663,50482333.741271004,24102.40094495355
108,3300.79435594832,16174.835966779152,53389807.26753452,24102.40094495355
109,3300.79435594832,16967.592464596593,56006533.44117168,24102.40094495355
110,3300.79435594832,17681.07331263229,58361586.99744513,24102.40094495355
111,3300.79435594832,18323.206075864415,60481135.198091224,24102.40094495355
112,3300.79435594832,18901.12556277333,62388728.57867272,24102.40094495355
113,3300.79435594832,19421.25310099135,64105562.62119606,24102.40094495355
