step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,10076.025332720019
1,3700.0,83402.602533272,308589629.3731064,10076.025332720019
2,3700.0,76069.9448132168,281458795.80890214,10076.025332720019
3,3700.0,69470.55286516712,257041045.60111836,10076.025332720019
4,3700.0,63531.10011192241,235065070.41411293,10076.025332720019
5,3700.0,58185.59263400217,215286692.74580804,10076.025332720019
6,3700.0,53374.635903873954,197486152.84433362,10076.025332720019
7,3700.0,49044.77484675856,181465666.93300667,10076.025332720019
8,3700.0,45147.89989535471,167047229.61281243,10076.025332720019
9,3700.0,41640.71243909124,154070636.0246376,10076.025332720019
10,3700.0,38484.24372845412,142391701.79528025,10076.025332720019
11,3700.0,35643.42188888071,131880660.98885863,10076.025332720019
12,3700.0,33086.68223326464,122420724.26307917,10076.025332720019
13,3700.0,30785.616543210177,113906781.20987765,10076.025332720019
14,3700.0,28714.657422161163,106244232.4619963,10076.025332720019
15,3700.0,26850.79421321705,99347938.58890308,10076.025332720019
16,3700.0,25173.317325167347,93141274.10311918,10076.025332720019
17,3700.0,23663.58812592261,87555276.06591366,10076.025332720019
18,3700.0,22304.83184660236,82527877.83242872,10076.025332720019
19,3700.0,21081.95119521412,78003219.42229223,10076.025332720019
20,3700.0,19981.35860896471,73931026.85316943,10076.025332720019
21,3700.0,18990.825281340243,70266053.5409589,10076.025332720019
22,3700.0,18099.34528647822,66967577.55996941,10076.025332720019
23,3700.0,17297.013291102397,63998949.17707887,10076.025332720019
24,3700.0,16574.914495264158,61327183.63247739,10076.025332720019
25,3700.0,15925.025579009744,58922594.64233605,10076.025332720019
26,3700.0,15340.125554380773,56758464.55120886,10076.025332720019
27,3700.0,14813.715532214695,54810747.469194375,10076.025332720019
28,3700.0,14339.946512265227,53057802.09538134,10076.025332720019
29,3700.0,13913.554394310706,51480151.258949615,10076.025332720019
30,3700.0,13529.801488151636,50060265.50616105,10076.025332720019
31,3700.0,13184.423872608477,48782368.32865136,10076.025332720019
32,3700.0,12873.58401861963,47632260.868892625,10076.025332720019
33,3700.0,12593.828150029669,46597164.15510978,10076.025332720019
34,3700.0,12342.047868298703,45665577.1127052,10076.025332720019
35,3700.0,12115.445614740836,44827148.774541095,10076.025332720019
36,3700.0,11911.503586538753,44072563.27019338,10076.025332720019
37,3700.0,11727.95576115688,43393436.316280454,10076.025332720019
38,3700.0,11562.762718313194,42782222.057758816,10076.025332720019
39,3700.0,11414.088979753877,42232129.22508934,10076.025332720019
40,3700.0,11280.282615050492,41737045.67568682,10076.025332720019
41,3700.0,11159.856886817444,41291470.481224544,10076.025332720019
