step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,5337.341325741727
1,3700.0,82928.73413257417,306836316.2905244,5337.341325741727
2,3700.0,75169.59485189093,278127500.95199645,5337.341325741727
3,3700.0,68186.36949927601,252289567.14732125,5337.341325741727
4,3700.0,61901.46668192258,229035426.72311357,5337.341325741727
5,3700.0,56245.054146304494,208106700.34132662,5337.341325741727
6,3700.0,51154.28286424822,189270846.59771842,5337.341325741727
7,3700.0,46572.58871039757,172318578.228471,5337.341325741727
8,3700.0,42449.06397193199,157061536.69614837,5337.341325741727
9,3700.0,38737.89170731296,143330199.31705797,5337.341325741727
10,3700.0,35397.83666915584,130971995.6758766,5337.341325741727
11,3700.0,32391.78713481443,119849612.39881338,5337.341325741727
12,3700.0,29686.34255390716,109839467.4494565,5337.341325741727
13,3700.0,27251.44243109061,100830336.99503526,5337.341325741727
14,3700.0,25060.032320555725,92722119.58605619,5337.341325741727
15,3700.0,23087.763221074325,85424723.91797501,5337.341325741727
16,3700.0,21312.721031541067,78857067.81670195,5337.341325741727
17,3700.0,19715.18306096113,72946177.32555619,5337.341325741727
18,3700.0,18277.39888743919,67626375.883525,5337.341325741727
19,3700.0,16983.393131269444,62838554.58569694,5337.341325741727
20,3700.0,15818.787950716673,58529515.41765169,5337.341325741727
21,3700.0,14770.643288219178,54651380.16641096,5337.341325741727
22,3700.0,13827.313091971431,51161058.440294296,5337.341325741727
23,3700.0,12978.315915348465,48019768.88678932,5337.341325741727
24,3700.0,12214.218456387787,45192608.288634814,5337.341325741727
25,3700.0,11526.530743323185,42648163.75029578,5337.341325741727
26,3700.0,10907.611801565035,40358163.66579063,5337.341325741727
27,3700.0,10350.584753982706,38297163.589736015,5337.341325741727
28,3700.0,9849.260411158608,36442263.52128685,5337.341325741727
29,3700.0,9398.06850261692,34772853.4596826,5337.341325741727
30,3700.0,8991.9957849294,33270384.404238783,5337.341325741727
31,3700.0,8626.530339010633,31918162.25433934,5337.341325741727
32,3700.0,8297.611437683743,30701162.31942985,5337.341325741727
33,3700.0,8001.584426489541,29605862.3780113,5337.341325741727
34,3700.0,7735.16011641476,28620092.430734612,5337.341325741727
35,3700.0,7495.378237347456,27732899.478185587,5337.341325741727
36,3700.0,7279.574546186883,26934425.820891466,5337.341325741727
37,3700.0,7085.351224142367,26215799.529326756,5337.341325741727
38,3700.0,6910.550234302303,25569035.86691852,5337.341325741727
39,3700.0,6753.229343446245,24986948.57075111,5337.341325741727
40,3700.0,6611.640541675793,24463070.004200436,5337.341325741727
41,3700.0,6484.210620082386,23991579.29430483,5337.341325741727
42,3700.0,6369.523690648321,23567237.655398786,5337.341325741727
43,3700.0,6266.305454157661,23185330.180383347,5337.341325741727
44,3700.0,6173.409041316068,22841613.452869453,5337.341325741727
45,3700.0,6089.802269758633,22532268.398106944,5337.341325741727
46,3700.0,6014.556175356943,22253857.848820686,5337.341325741727
47,3700.0,5946.834690395421,22003288.354463056,5337.341325741727
48,3700.0,5885.885353930052,21777775.809541192,5337.341325741727
49,3700.0,5831.030951111219,21574814.51911151,5337.341325741727
